# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35748
#@/user_id	snylonue-home-win10
bing qie 	并且	c=3 d=1 t=28789
bing qing 	病情	c=0 d=0.1 t=7075
bing qing ye dong 	病情夜栋	c=1 d=1 t=7076
bing ren 	病人	c=1 d=1 t=12774
bing shan 	冰山	c=1 d=1 t=17776
bing xiang 	冰箱	c=1 d=1 t=31227
bing yu 	并与	c=0 d=0.1 t=5860
bing yu fa xian 	并与法线	c=1 d=1 t=5861
bing zhong 	病重	c=1 d=1 t=9178
bo 	啵	c=1 d=1 t=3687
bo 	播	c=4 d=1 t=21592
bo 	薄	c=1 d=1 t=3280
bo de lai er 	波德莱尔	c=1 d=1 t=12792
bo dong 	波动	c=0 d=0.1 t=24886
bo duo 	剥夺	c=1 d=1 t=16312
bo fa 	播发	c=1 d=1 t=14188
bo fang 	播放	c=2 d=0.0130029 t=35748
bo fang di zhi 	播放地址	c=1 d=0.13068 t=35748
bo fang lie biao 	播放列表	c=4 d=1.1836 t=35284
bo fang qi 	播放器	c=4 d=1 t=35553
bo fang she bei 	播放设备	c=1 d=1 t=21855
bo fang ti yan 	播放体验	c=1 d=1 t=24630
bo lan hui 	博览会	c=1 d=1 t=883
bo li zhu 	玻璃珠	c=1 d=1 t=11246
bo nu li shu 	伯努利数	c=1 d=1 t=10386
bo pu 	波普	c=0 d=0.1 t=13203
bo su 	波速	c=1 d=1 t=3542
bo xue 	剥削	c=2 d=1 t=30033
bu 	不	c=41 d=1.50779 t=35748
bu 	步	c=0 d=0.199005 t=15380
bu 	补	c=1 d=0.199501 t=33780
bu 	部	c=3 d=0.445352 t=31048
bu an 	不安	c=1 d=1 t=5259
bu ba 	不把	c=1 d=1 t=25757
bu bao zheng 	不保证	c=1 d=1 t=32948
bu bei po huai 	不被破坏	c=1 d=1 t=24006
bu bi 	不必	c=1 d=1 t=31586
bu bi 	不避	c=0 d=0.1 t=14133
bu bi ben xin 	不避本心	c=1 d=1 t=14134
bu bian 	不变	c=7 d=1 t=27954
bu biao 	补标	c=4 d=1.99501 t=30312
bu bu 	不不	c=1 d=1 t=2719
bu bu gao 	步步高	c=3 d=1 t=16003
bu bu jin bi 	步步紧逼	c=1 d=1 t=30929
bu bu neng dong 	不不能动	c=1 d=1 t=14586
bu can jia 	不参加	c=1 d=1 t=3160
bu ceng 	不曾	c=1 d=1 t=8458
bu chang 	补偿	c=0 d=0.083527 t=35748
bu chang dian 	补偿点	c=1 d=0.839457 t=35748
bu chang jian 	不常见	c=1 d=1 t=16344
bu chang yong 	不常用	c=2 d=1 t=34788
bu chao 	不超	c=1 d=1 t=8617
bu cheng gong 	不成功	c=1 d=1 t=32720
bu cheng li 	不成立	c=1 d=1 t=34144
bu chi 	不吃	c=2 d=1.00011 t=32611
bu chi jiu 	不持久	c=1 d=1 t=26861
bu chong 	不充	c=1 d=1 t=24580
bu chong 	补充	c=5 d=1.00001 t=30523
bu chong fen 	不充分	c=0 d=0.1 t=9621
bu chu 	不出	c=3 d=1 t=34929
bu chu lai 	不出来	c=0 d=0.1 t=1830
bu chu xian zai 	不出现在	c=1 d=1 t=20929
bu cun zai 	不存在	c=5 d=1 t=32953
bu cuo 	不错	c=6 d=1.00001 t=34885
bu cuo de 	不错的	c=1 d=1.00083 t=8046
bu cuo le 	不错了	c=1 d=0.852144 t=35748
bu da 	不大	c=6 d=0.873716 t=35748
bu dai 	不带	c=2 d=1 t=31230
bu dao 	不到	c=10 d=1 t=33364
bu de 	补的	c=1 d=1 t=17858
bu de bu 	不得不	c=1 d=1 t=17521
bu de bu shuo 	不得不说	c=1 d=1 t=9224
bu de dao 	不得到	c=1 d=1 t=22453
bu deng 	不等	c=1 d=1 t=4450
bu deng shi 	不等式	c=2 d=0.212554 t=20484
bu deng tong 	不等同	c=1 d=1 t=10397
bu diao 	不掉	c=0 d=0.1 t=24094
bu diao yong 	不掉用	c=1 d=1 t=24095
bu ding 	不定	c=1 d=1 t=9241
bu ding 	补丁	c=3 d=2.31853 t=13605
bu ding tie 	不顶帖	c=1 d=1 t=27160
bu dong 	不动	c=0 d=0.1 t=30258
bu dong 	不懂	c=6 d=1.00165 t=24741
bu dong le 	不动了	c=0 d=0.1 t=21236
bu dou 	不都	c=1 d=1 t=19945
bu dou shi 	不都是	c=2 d=1 t=23907
bu duan 	不断	c=1 d=1 t=28878
bu dui 	不对	c=12 d=1 t=29444
bu dui cheng 	不对称	c=0 d=0.1 t=4358
bu dui jin 	不对劲	c=1 d=1 t=3372
bu dui ma 	不对吗	c=2 d=1.9802 t=12477
bu dui wei kou 	不对胃口	c=1 d=1 t=2417
bu duo 	不多	c=2 d=1.00389 t=11412
bu er qiao ya 	布尔乔亚	c=1 d=1 t=32401
bu fa 	不乏	c=1 d=1 t=19097
bu fa 	步伐	c=2 d=1.00333 t=4641
bu fan hui 	不返回	c=1 d=1 t=12525
bu fang 	不放	c=1 d=1 t=20623
bu fang bian 	不方便	c=2 d=1 t=11703
bu fen 	部分	c=9 d=0.428578 t=35748
bu fen li 	不分离	c=1 d=1 t=17097
bu fu 	不符	c=1 d=1 t=19934
bu fu he 	不符合	c=1 d=1 t=4502
bu fu ze ren 	不负责任	c=2 d=1 t=28353
bu gai 	不改	c=2 d=1 t=35081
bu gai 	不该	c=1 d=1 t=35082
bu gan 	不敢	c=1 d=1 t=7132
bu gao 	不高	c=2 d=1 t=33714
bu gao xing 	不高兴	c=1 d=1 t=15923
bu gei 	不给	c=7 d=1.24065 t=34800
bu gong 	不共	c=0 d=0.1 t=2015
bu gong xian 	不共线	c=1 d=1 t=2016
bu gou 	不够	c=7 d=1 t=35182
bu gou duo 	不够多	c=1 d=1 t=28842
bu gou fen le 	不够分了	c=1 d=1 t=21747
bu gou kan 	不够看	c=1 d=1 t=25924
bu gou ting 	不够听	c=1 d=1 t=25609
bu guan 	不管	c=1 d=1 t=10297
bu guan le 	不管了	c=1 d=1 t=5733
bu guan shi 	不管事	c=1 d=1 t=25856
bu guo 	不过	c=40 d=0.548626 t=35748
bu guo fen 	不过分	c=1 d=1 t=26117
bu hai shi 	不还是	c=1 d=1 t=26602
bu han 	不含	c=2 d=1 t=29298
bu hao 	不好	c=8 d=1 t=31775
